Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Adj Factor
1980-10-20,16.252389908,16.371892929,15.893880844,16.371892929,1.103878666,"1,976,103",0.00,0.00,0.067425231
1980-10-21,16.371892929,16.461519241,16.132886887,16.252389908,1.095821147,"2,632,573",0.00,0.00,0.067425231
1980-10-22,16.252389908,16.282266617,16.132886887,16.192638397,1.091792388,"1,837,613",0.00,0.00,0.067425231
1980-10-23,16.192638397,16.192638397,15.684750557,15.744503021,1.061576757,"1,890,331",0.00,0.00,0.067425231
1980-10-24,15.744503021,15.923756599,15.654875755,15.923756599,1.073662971,"1,941,794",0.00,0.00,0.067425231
1980-10-27,15.893880844,15.893880844,15.714627266,15.804253578,1.065605452,"1,020,059",0.00,0.00,0.067425231
1980-10-28,15.804253578,15.953633308,15.744503021,15.923756599,1.073662971,"2,037,190",0.00,0.00,0.067425231
1980-10-29,15.923756599,16.043260574,15.654875755,15.654875755,1.055533618,"1,607,074",0.00,0.00,0.067425231
1980-10-30,15.654875755,15.834130287,15.565249443,15.565249443,1.049490543,"1,648,914",0.00,0.00,0.067425231
1980-10-31,15.595124245,16.073135376,15.595124245,15.923756599,1.073662971,"2,258,523",0.00,0.00,0.067425231
1980-11-03,15.953633308,16.162763596,15.953633308,16.132886887,1.087763629,"1,588,246",0.00,0.00,0.067425231
1980-11-05,16.252389908,16.790153503,16.252389908,16.371892929,1.103878666,"4,631,688",0.21,0.00,0.067425231
1980-11-06,16.282266617,16.282266617,15.834130287,15.893880844,1.085273932,"2,505,798",0.00,0.00,0.068282501
1980-11-07,15.893880844,16.043260574,15.893880844,16.043260574,1.095473954,"1,829,663",0.00,0.00,0.068282501
1980-11-10,16.043260574,16.073135376,15.893880844,16.073135376,1.097513880,"1,474,442",0.00,0.00,0.068282501
1980-11-11,16.073135376,16.192638397,15.983509064,16.043260574,1.095473954,"1,301,642",0.00,0.00,0.068282501
1980-11-12,16.073135376,16.999282837,16.073135376,16.939531326,1.156673562,"4,493,616",0.00,0.00,0.068282501
1980-11-13,16.939531326,17.118785858,16.790153503,17.029159546,1.162793601,"5,518,696",0.00,0.00,0.068282501
